"Line Numbers"	              "SiO2  Oxide Percents"	"TiO2  Oxide Percents"	"Al2O3 Oxide Percents"	"FeO   Oxide Percents"	"MgO   Oxide Percents"	"CaO   Oxide Percents"	"Na2O  Oxide Percents"	"Cr2O3 Oxide Percents"	"MnO   Oxide Percents"	"NiO   Oxide Percents"	"Si Formula Atoms"	"Ti Formula Atoms"	"Al Formula Atoms"	"Fe Formula Atoms"	"Mg Formula Atoms"	"Ca Formula Atoms"	"Na Formula Atoms"	"Cr Formula Atoms"	"Mn Formula Atoms"	"Ni Formula Atoms"	"Oxide Totals"	"Formula Totals"	"X Stage Coordinates (mm)"	"Y Stage Coordinates (mm)"	"Z Stage Coordinates (mm)"	"Si Detection Limits"	"Ti Detection Limits"	"Al Detection Limits"	"Fe Detection Limits"	"Mg Detection Limits"	"Ca Detection Limits"	"Na Detection Limits"	"Cr Detection Limits"	"Mn Detection Limits"	"Ni Detection Limits"	"Si Percent Errors"	"Ti Percent Errors"	"Al Percent Errors"	"Fe Percent Errors"	"Mg Percent Errors"	"Ca Percent Errors"	"Na Percent Errors"	"Cr Percent Errors"	"Mn Percent Errors"	"Ni Percent Errors"	
718.000000  	  51.660942   	.164117     	4.935750    	3.080327    	16.597757   	19.926899   	1.123754    	1.254265    	.090586     	.016794     	1.894288    	.004525     	.213301     	.094459     	.907293     	.782868     	.079893     	.036363     	.002813     	.000495     	98.851196   	10.016300   	8.090600    	78.949600   	11.003000   	.023634     	.044203     	.023705     	.037607     	.010324     	.007819     	.015645     	.011357     	.026128     	.037560     	.278593     	25.243336   	1.066058    	2.125379    	.405738     	.234879     	2.225996    	1.087528    	18.914295   	135.168289  	
719.000000  	  51.959606   	.136254     	4.951130    	3.155255    	16.633768   	19.961260   	1.147750    	1.226914    	.104497     	.000000     	1.896837    	.003741     	.213022     	.096330     	.905251     	.780760     	.081239     	.035413     	.003231     	.000000     	99.276428   	10.015824   	8.100500    	78.924202   	11.003000   	.023667     	.045587     	.024383     	.036625     	.010484     	.007802     	.015685     	.011551     	.025308     	.037731     	.277782     	30.321684   	1.069075    	2.090627    	.405436     	.234686     	2.199926    	1.109904    	16.131792   	-130.28055  	
720.000000  	  51.775139   	.105288     	4.903873    	3.121779    	16.546761   	19.981892   	1.201326    	1.263390    	.073992     	.051737     	1.896144    	.002900     	.211663     	.095613     	.903395     	.784065     	.085303     	.036582     	.002295     	.001524     	99.025177   	10.019484   	8.110500    	78.943298   	11.003000   	.023464     	.042415     	.023701     	.040115     	.010065     	.007712     	.015120     	.011298     	.026376     	.036699     	.278227     	36.021675   	1.070161    	2.126837    	.406436     	.234526     	2.131816    	1.080444    	23.052378   	43.569267   	
721.000000  	  51.625782   	.136374     	4.912753    	3.000840    	16.498169   	19.893446   	1.181471    	1.251092    	.098740     	.035428     	1.896818    	.003768     	.212736     	.092208     	.903668     	.783131     	.084165     	.036344     	.003073     	.001047     	98.634102   	10.016956   	8.080700    	78.908096   	11.003000   	.023750     	.046969     	.024143     	.040048     	.010512     	.007870     	.014967     	.011472     	.025983     	.036256     	.278809     	30.995598   	1.072412    	2.175436    	.407282     	.235204     	2.148929    	1.093346    	17.378662   	62.424629   	
722.000000  	  40.953564   	.015126     	.034870     	8.761147    	49.772926   	.105795     	.000000     	.011497     	.139597     	.328256     	1.498042    	.000416     	.001503     	.268014     	2.714188    	.004146     	.000000     	.000333     	.004325     	.009657     	100.122772  	10.500624   	9.444300    	79.223602   	11.003000   	.025009     	.041790     	.026372     	.040440     	.009810     	.007405     	.015702     	.010742     	.024650     	.037252     	.330203     	221.809525  	68.534637   	1.211470    	.228735     	5.627366    	-60.33355   	65.020355   	12.143831   	7.759476    	
723.000000  	  40.867043   	.036302     	.000000     	9.225410    	49.846340   	.104983     	.015563     	.017224     	.121810     	.343946     	1.492026    	.000997     	.000000     	.281678     	2.713007    	.004107     	.001102     	.000497     	.003767     	.010099     	100.578621  	10.507279   	9.421100    	79.197998   	11.003000   	.024425     	.039233     	.027016     	.036252     	.009844     	.007428     	.015314     	.010684     	.025580     	.036303     	.330513     	89.752052   	-362.11261  	1.173332    	.229018     	5.675983    	64.783836   	43.390202   	14.142979   	7.302761    	
724.000000  	  40.826939   	.000000     	.034915     	9.137902    	49.966923   	.094555     	.000622     	.028101     	.098018     	.339340     	1.490590    	.000000     	.001502     	.279012     	2.719621    	.003699     	.000044     	.000811     	.003031     	.009964     	100.527313  	10.508276   	9.417900    	79.213898   	11.003000   	.024391     	.043125     	.025408     	.036532     	.009095     	.007601     	.014860     	.010711     	.025627     	.035834     	.330463     	-81.76982   	66.035065   	1.178738    	.228370     	6.299731    	1520.511353 	26.907740   	17.283361   	7.316362    	
725.000000  	  40.864059   	.003019     	.043887     	8.929018    	49.689045   	.108653     	.000789     	.029058     	.164284     	.360452     	1.495630    	.000083     	.001893     	.273307     	2.711175    	.004261     	.000056     	.000841     	.005093     	.010610     	100.192253  	10.502949   	9.427700    	79.233002   	11.003000   	.024243     	.043779     	.025741     	.038012     	.009981     	.007310     	.015090     	.010598     	.024672     	.035469     	.330026     	1144.534180 	53.437721   	1.194731    	.228962     	5.455057    	1217.617065 	25.779335   	10.519496   	6.888486    	
726.000000  	  40.890533   	.021136     	.000000     	8.980002    	49.642742   	.102440     	.000000     	.024148     	.097947     	.368185     	1.497393    	.000582     	.000000     	.275014     	2.710087    	.004019     	.000000     	.000699     	.003038     	.010844     	100.127136  	10.501675   	9.444400    	79.194801   	11.003000   	.024648     	.045108     	.026836     	.038222     	.009683     	.007525     	.015390     	.010598     	.026064     	.036333     	.330048     	172.021744  	-71.19762   	1.191477    	.229058     	5.843659    	-900.44043  	30.889866   	17.544319   	6.883656    	
727.000000  	  55.242241   	.088261     	3.936865    	5.715626    	32.860619   	1.137032    	.105895     	.649469     	.142686     	.095682     	1.908919    	.002294     	.160333     	.165175     	1.692803    	.042097     	.007095     	.017744     	.004176     	.002659     	99.974380   	10.003296   	9.182200    	78.063797   	11.003000   	.023399     	.038316     	.024528     	.036139     	.009989     	.007474     	.014539     	.010856     	.024303     	.035081     	.275383     	38.859848   	1.259899    	1.511272    	.281460     	1.074491    	10.870321   	1.683513    	11.782762   	23.050655   	
728.000000  	  55.039951   	.094356     	3.984728    	5.801331    	33.022999   	1.142924    	.113672     	.654339     	.150769     	.079753     	1.901747    	.002452     	.162267     	.167636     	1.701005    	.042311     	.007615     	.017876     	.004412     	.002216     	100.084816  	10.009538   	9.162300    	78.063904   	11.003000   	.023740     	.043103     	.024923     	.035809     	.009831     	.007432     	.014402     	.010736     	.024242     	.035821     	.276143     	40.160686   	1.255381    	1.498654    	.280819     	1.070358    	10.198768   	1.665692    	11.200673   	27.983202   	
729.000000  	  55.336922   	.036522     	3.941095    	5.798661    	32.767246   	1.125726    	.090970     	.715050     	.135103     	.098893     	1.911128    	.000949     	.160416     	.167482     	1.687054    	.041656     	.006092     	.019525     	.003952     	.002747     	100.046188  	10.000999   	10.008300   	78.646896   	11.003000   	.023542     	.043100     	.024429     	.038746     	.009574     	.007437     	.014518     	.010924     	.024462     	.035089     	.275191     	97.181778   	1.258103    	1.506960    	.281907     	1.079989    	12.322937   	1.573961    	12.432819   	22.340738   	
730.000000  	  55.117252   	.051723     	3.887627    	5.818273    	32.730022   	1.133305    	.090747     	.679881     	.161461     	.061054     	1.910050    	.001348     	.158781     	.168623     	1.690899    	.042079     	.006097     	.018628     	.004739     	.001702     	99.731339   	10.002947   	10.028200   	78.615196   	11.003000   	.023347     	.039459     	.025041     	.035344     	.010007     	.007376     	.015253     	.010787     	.024478     	.035177     	.275665     	64.705688   	1.274666    	1.494966    	.282103     	1.074210    	12.774575   	1.623215    	10.623425   	35.625500   	
731.000000  	  55.261166   	.100423     	3.818556    	5.871089    	32.879147   	1.133969    	.100071     	.712686     	.125262     	.067444     	1.909209    	.002609     	.155485     	.169635     	1.693434    	.041976     	.006703     	.019468     	.003666     	.001874     	100.069794  	10.004059   	10.001800   	78.624603   	11.003000   	.023432     	.040956     	.024824     	.039475     	.009601     	.007466     	.015368     	.010573     	.024151     	.036045     	.275358     	36.489414   	1.286583    	1.499033    	.281475     	1.076011    	11.823867   	1.555172    	13.169815   	33.096195   	
732.000000  	  55.532085   	.070005     	3.843648    	5.834666    	32.884808   	1.113644    	.106286     	.705769     	.139143     	.094799     	1.912750    	.001813     	.156032     	.168072     	1.688589    	.041098     	.007098     	.019220     	.004059     	.002626     	100.324860  	10.001359   	10.034900   	78.634201   	11.003000   	.023390     	.042753     	.024519     	.039579     	.009819     	.007501     	.015208     	.010737     	.025097     	.035403     	.274638     	52.354397   	1.278177    	1.504379    	.281498     	1.088354    	11.164021   	1.576782    	12.356493   	23.450714   	
733.000000  	  55.632641   	.030438     	3.867998    	5.814725    	32.734222   	1.138228    	.089099     	.705567     	.123477     	.100719     	1.916825    	.000789     	.157071     	.167551     	1.681393    	.042019     	.005952     	.019221     	.003604     	.002791     	100.237106  	9.997216    	9.988600    	78.646896   	11.003000   	.022994     	.043104     	.024414     	.038114     	.010507     	.007310     	.014929     	.010669     	.025712     	.035531     	.274202     	115.757423  	1.271810    	1.502991    	.282251     	1.070181    	12.783408   	1.572689    	14.031422   	22.205305   	
734.000000  	  55.054993   	.149181     	4.100495    	5.860747    	32.703796   	1.106990    	.100793     	.634603     	.145898     	.072942     	1.904383    	.003881     	.167167     	.169541     	1.686437    	.041027     	.006760     	.017356     	.004275     	.002029     	99.930443   	10.002855   	9.587100    	77.411102   	11.003000   	.023265     	.042058     	.024742     	.036606     	.009637     	.007468     	.015029     	.010685     	.024996     	.035606     	.275964     	26.372927   	1.231934    	1.492871    	.282273     	1.091407    	11.577509   	1.699747    	11.807873   	30.331074   	
